Sample,REC31812,REC31828,40592-V08H,40021-V08H,40600-V08H,40601-V08H,40607-V08H
COVID-403,2460,2022,1047.5,15254,1513,7148,18264
COVID-414,1732,3713.5,3013,9265.5,3733,22322,19255
COVID-425,2717,6354,1643,8322,4137,11884.5,14109.5
COVID-454,2642.5,2376,2383.5,7436,2735,12369.5,11590
COVID-465,1707,10505.5,860.5,10201,4968,32030.5,21930
COVID-173,2291.5,2163,6998,9134.5,4427,7883,8406
COVID-184,2583,663,1465,4127,2493,10485.5,12298
COVID-195,2461,609,894.5,3860.5,2028,2556,5240
COVID-404,2923,6278,2061,13952.5,5668,17998.5,15149.5
COVID-415,2299,1317,1219,5328,5727,21792,12797
COVID-426,1891,2040,1308,3558,1814.5,3884.5,13160
COVID-455,3530,3572.5,1406,13533.5,3373,12200,20166
COVID-466,4060,1321,1284,1799,3438.5,12671,9222
COVID-174,2778.5,876,2835,19232,9653,18448,18978
COVID-185,2186,1695,1758,15986,8699,14058.5,12352.5
COVID-196,5771,2388,2924.5,34786,6531,17848,20915
COVID-405,2588,1936,2538,22230,3879,12965,18679
COVID-416,2463.5,626,652,2883,798,2370,8480.5
COVID-427,15084.5,1662,3075,3542,5478,19197.5,15032
COVID-456,2634,2622,6643,6784,11639,36884.5,12750
COVID-467,4687,2614,3351.5,6936.5,2639,5178,20765.5
COVID-175,3881.5,1422,2970,6084,3034.5,5230,13824
COVID-186,2744,1335,2062.5,6858,3607,9378,17329.5
COVID-197,3634,1236,2329,13302.5,6278.5,7005,39202
COVID-406,2407,5355.5,1410.5,1113,3827,18482.5,14751
COVID-417,2851,3770.5,2281,4896.5,1896,4716,9877
COVID-428,4722.5,14688,2726.5,10389,4824,13542,27775.5
COVID-457,3001.5,16714,2265,5332.5,1783.5,3073,19243.5
COVID-468,2566,919,1420,18436.5,3222,8195.5,7005
COVID-176,2565,1016.5,2759,2987.5,1894,7241,7064
COVID-187,5016,1588,2184.5,11754,1900.5,24997,14422
COVID-198,3377.5,973,1174.5,11921.5,3194,28710,20062
COVID-407,2908,1235.5,1829.5,4938,1486,8437,12564
COVID-418,3221,2364.5,4202.5,10181,1167,18425,11768.5
COVID-429,2514.5,5532,4022,23798,8007,15955.5,23071.5
COVID-458,1739.5,2644.5,2018,11512,2120,4829,9080.5
COVID-469,3718,1612,2259.5,10637,8483,32007,32307
COVID-177,15155,1652,5347,12283,4599,12782,15664
COVID-188,3423,846,1134,4061,3712.5,13690.5,14432
COVID-199,3780.5,6863,609,25285.5,5634,15459.5,13190
COVID-408,2169,6835,1591.5,8111,7607,11116,19612.5
COVID-419,1196.5,1317,985,8140.5,3956,9001,5757
COVID-430,4607,2032.5,2639.5,3918,2982,4691,18125
COVID-459,3028,659.5,743,7198.5,2380.5,5049.5,18725
COVID-470,1801.5,1765,2116.5,9193,2912.5,3514,10952
COVID-178,2567,1333,1268.5,3084,7637,19773.5,13054.5
COVID-189,1753,4084,966,27349,6665,12448.5,37011
COVID-200,3563,1340,3345.5,6531,2700,9320,10499
COVID-409,3856,899,1086,19762,1881,8523,21307.5
COVID-420,3742.5,2881,981,6429,22714,32099.5,17641
COVID-431,2726,2475,1362,2944,3665,6284.5,19209
COVID-460,2689,937,1434,4065,2069.5,11167,9640
COVID-471,5520,2039.5,1446.5,7496,2988.5,6099,23209.5
COVID-179,1148.5,484,665,2159,3753,6737.5,19255
COVID-190,3312.5,1055.5,2771,9857.5,4229.5,5812,19809
COVID-308,5391,2574,3137.5,9104,6176,28894,19681.5
COVID-410,2935,3794,872.5,4189.5,3188,15372,13303.5
COVID-421,2800.5,1834.5,1942,15579,2362,3929,13581
COVID-432,2630.5,762,2479,8813.5,3184,19912.5,16103
COVID-461,2684,5000,4068,14231,3965,7247,11026.5
COVID-472,3402,3369,949,10270,1609,1070,8848
COVID-180,6643,1055,1101,3790,7497,13289.5,22333.5
COVID-191,8472,2870.5,6059,20869,6571,11280.5,21400
COVID-310,1640,964.5,484.5,8609,4496,20962,9124
COVID-411,1988,1122.5,1050,9420.5,1561,7816,11131
COVID-422,27303,680.5,1079,19578,11630.5,14086.5,31362
COVID-451,4230,1493,2433,11265,3017.5,10461,19048
COVID-462,1727.5,596.5,1151,10127,4179,18656,12696.5
COVID-473,7323,740,1357,5410,3716,12234,4168.5
COVID-301,2712.5,1561.5,2701.5,15401,10813,17038.5,19347
COVID-314,2118,1044.5,2075,2857,2518,5920,9569.5
COVID-325,2359,26265,2925,22991,8044,27810,32768
COVID-336,2931,4155,7311.5,7773.5,5273,6524.5,23809.5
COVID-347,2609,1912,1002.5,26773,7258,16074.5,18863
COVID-485,13147,1207.5,1201,26565,7453.5,24259,31500
COVID-496,1644,1880.5,1915,4328.5,2309,9530,13684
COVID-507,2578.5,1090,2203,11802,5299.5,11272,20016
COVID-302,1825,727,540,10308.5,2797.5,13710,13616.5
COVID-315,2322,7054,1313,28341,14800.5,21215,36642
COVID-326,1648,1011,1228.5,3306.5,2020,6379,15625.5
COVID-337,3624,2085,2308.5,15911,8518,16681,12156
COVID-348,2593.5,1070,1185,1722,1176,2012,6179
COVID-486,1533,1235.5,1215,4660,1242,5784,7038
COVID-497,1869,4573,1964,4761,3187,4609,10007
COVID-508,3386,8176.5,1105,6506,7814.5,12803.5,19854.5
COVID-303,1244,2542,1041,16271,12056.5,26634,26230.5
COVID-316,4454,2983,3511,7501.5,2337,3522,32491.5
COVID-327,2512,4568,1831,14331,5829.5,18321.5,20350.5
COVID-338,1923,991.5,1569,13912,3286,6016,19266.5
COVID-476,3201,1976,958,4739,2654,14033,8488
COVID-487,1610,676,1090.5,6020,4453,9194,3815
COVID-498,1380,3173,1276,9563,944,6104,6996.5
COVID-509,3700,784,1319.5,16906,12219.5,14605,16069.5
COVID-304,14044,12069,12100,12457.5,6625,13239,31961
COVID-317,3543,1392,1574,7022,9038.5,24685.5,19393.5
COVID-328,3819,4069,1315.5,14025,3847,20823,20777
COVID-339,3225.5,3240.5,1395,16258,6576.5,17779,15820
COVID-477,1210,1758,1481.5,9671,7750,17652.5,20373.5
COVID-488,7324.5,4672,1967.5,5196.5,6370,15104,17606.5
COVID-499,4852,1306.5,1095,4922,5914,22518.5,19993
COVID-510,2174,755,834.5,2824,2187,3017,7640.5
